PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
12,4/4/2025,3:07:28 PM,2,7,Sophia Voyles,voyleso10,,Georgia tech [geo06:2025],Vanessa Flores,floreva10,Right,Syracuse [syr01:2025],,1,Top,2,0,2,Curve Ball,,BallCalled,,,,,,,63.78430488,3.041482599,-2.86212029,1942.857221,139.6312714,10:45,1.692894646,0.556022327,3.774067363,-24.4636666,10.85794563,-7.153549764,1.959821793,-1.182990243,57.25958429,-2.809550416,-3.467910437,0.426731952,,,,,,,,,,,,6.329058754,10.22908653,-1.051339286,50,0.976943845,4.029517051,-95.81199106,7.603190863,5.574027039,22.02838489,-23.16525268,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,c45e2ded-8499-4225-8d92-fe70459bff44,4a005702-dca1-4d99-a9b1-2aebdacad4b4,63.95657551,1.691162137,0.554764432,3.066180592,-2.843074924,57.39463341,1.961864636,-1.18205109,-2.766491231,-3.448639443,0.426536707,-7.264503537,9.385710267,-46.81737438,,1329.547743,-1416.685209,68.43260166,-0.52138247,-0.729176181,0.443240811,,,,,,,,,,,,,,,,,1,1,,,high,high,,,39.22593401,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
13,4/4/2025,3:07:49 PM,2,8,Sophia Voyles,voyleso10,,Georgia tech [geo06:2025],Vanessa Flores,floreva10,Right,Syracuse [syr01:2025],,1,Top,2,1,2,Rise Ball,,BallCalled,,,,,,,63.5360858,6.61416484,0.466572224,1975.916548,123.9082815,10:15,1.715192628,0.308744976,5.864154349,-24.30046678,6.751658656,-6.926116938,4.193488819,0.031488819,57.7023445,0.436701723,-1.14511401,0.405193747,,,,,,,,,,,,8.416972569,5.044982218,-0.136623673,50,-0.012492581,-1.763025417,-95.54004282,14.52921814,7.378743804,21.76564536,-27.75136305,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,c45e2ded-8499-4225-8d92-fe70459bff44,68c6173e-e264-4f19-92b6-dc17eb75e07a,63.68680352,1.712576921,0.307991722,6.658368272,0.479705043,57.82329813,4.196055482,0.032207902,0.493570461,-1.129375769,0.40503886,-7.009930787,5.390985809,-50.78868442,,1249.13953,-1530.978981,63.21823311,-0.352672443,-0.774819657,0.524668131,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.13584703,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
14,4/4/2025,3:08:10 PM,2,9,Sophia Voyles,voyleso10,,Georgia tech [geo06:2025],Vanessa Flores,floreva10,Right,Syracuse [syr01:2025],,1,Top,2,2,2,Curve Ball,,InPlay,,LineDrive,Out,1,0,,62.43328968,4.49403065,1.487097812,,,,1.576097564,0.374433483,3.112596809,,,,1.594396695,1.373156258,56.21235183,-4.935052092,1.487097812,,,,,,,,,,,,,,,,,,,,,,,,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,c45e2ded-8499-4225-8d92-fe70459bff44,aa6be06e-d69a-4689-822a-4b58139a2c26,62.5910718,1.569629769,0.374433483,4.587032599,1.487097812,56.32325956,1.599959219,1.373156258,-4.827695978,1.487097812,0.44362487,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,low,,,39.88740457,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
15,4/4/2025,3:10:19 PM,1,1,Julianna Verni,verniju10,Right,Syracuse [syr01:2025],Paige Vukadinovich,vukadpa10,,Georgia tech [geo06:2025],,1,Bottom,0,0,0,,,StrikeCalled,,,,,,,66.06324111,4.429954559,-4.286531551,,,,1.926783861,1.027674006,6.921314313,,,,1.869019771,-0.23567887,60.36714557,-5.188186175,-2.430092757,,,,,,,,,,,,,,,,,,,,,,,,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,c45e2ded-8499-4225-8d92-fe70459bff44,cc431420-9a2e-46c8-9f23-6616dcadf309,66.19423259,1.923015796,1.027674006,4.495308152,-4.286531551,60.46035409,1.872311866,-0.23567887,-5.115108565,-2.430092757,0.374636357,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,36.07868706,Laila Alves,alvesla10,Syracuse [syr01:2025],2022-11
16,4/4/2025,3:10:33 PM,1,2,Julianna Verni,verniju10,Right,Syracuse [syr01:2025],Paige Vukadinovich,vukadpa10,,Georgia tech [geo06:2025],,1,Bottom,0,0,1,,,BallCalled,,,,,,,58.49825882,7.342837972,1.000993946,1036.294258,8.62392195,6:15,1.881721903,0.571331074,5.063271388,-47.60395225,-10.00459519,-1.788489281,2.716559707,0.209689054,53.94374109,-6.451643912,-0.470682399,0.450564672,,,,,,,,,,,,2.399798686,-14.388586,-0.346280988,50,-0.068519678,-1.734533841,-87.57859497,16.94801879,1.774542876,17.87479652,-42.81375988,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,c45e2ded-8499-4225-8d92-fe70459bff44,0b0fe70f-3b4c-4b2c-9881-68bfb507bde0,58.56525603,1.869878173,0.571652031,7.533069246,0.995675998,53.95920507,2.724767121,0.209460115,-6.278792678,-0.475515703,0.450513212,-1.749384402,-12.37158532,-13.17937034,,1008.999364,-236.2754172,97.36610583,0.962652711,-0.228000315,0.145998677,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.93672999,Laila Alves,alvesla10,Syracuse [syr01:2025],2022-11
17,4/4/2025,3:10:49 PM,1,3,Julianna Verni,verniju10,Right,Syracuse [syr01:2025],Paige Vukadinovich,vukadpa10,,Georgia tech [geo06:2025],,1,Bottom,0,1,1,,,Foul,,,,,,,64.94082528,4.486242238,-0.882927625,1200.167259,2.925166859,6:00,1.959167874,0.890957568,7.062841403,-33.90503744,-6.740636081,-0.585943095,1.760793465,0.535626244,60.10985334,-6.190092391,-1.189683904,0.380890937,58.37532851,19.65566468,-69.62633072,,-102.8318697,39.05901409,5.165117269,121.9680096,,-69.2432168,1.765854269,0.20566466,-10.37476531,-1.101958587,50,0.431314464,1.435364766,-98.24028931,13.53823724,0.191147826,22.64454409,-41.81651237,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,c45e2ded-8499-4225-8d92-fe70459bff44,c4531a4e-cc75-4fbb-987e-9a0eb07c9e99,65.02312116,1.952372034,0.892968787,4.61104785,-0.920526879,60.15602366,1.766271532,0.53418188,-6.068038049,-1.221898258,0.380822349,-0.352436445,-8.371797912,-43.27191465,,873.852392,-822.6684906,72.81088413,0.727160143,-0.685461534,0.037156572,-51.53481217,19.13867067,19.63551371,-0.692286594,1.537677274,1.887549461,-114.0514636,43.22567551,,,,,,,,,1,1,,25.71977566,high,high,,,35.93715997,Laila Alves,alvesla10,Syracuse [syr01:2025],2022-11
18,4/4/2025,3:11:14 PM,1,4,Julianna Verni,verniju10,Right,Syracuse [syr01:2025],Paige Vukadinovich,vukadpa10,,Georgia tech [geo06:2025],,1,Bottom,0,1,2,,,InPlay,,GroundBall,Double,0,0,,66.58146947,3.964109669,-0.909428152,,,,1.880076259,1.066458001,7.023405252,,,,1.609380843,0.881077002,60.94100704,-5.54263153,0.206645747,,64.88732691,-3.231249108,-42.34522035,,,,,18.92019026,,-42.46713726,0.185285188,,,,,,,,,,,,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,c45e2ded-8499-4225-8d92-fe70459bff44,4b736dcb-b188-4fd6-b6a6-9253601b4779,66.71023221,1.876474114,1.066458001,4.027550219,-0.909428152,61.03301397,1.612545439,0.881077002,-5.471946329,0.206645747,0.371519762,,,,,,,,,,,-43.63835929,47.88195808,-3.657442058,-1.013740512,1.250591725,1.559959131,-12.77429229,13.95675664,,,,,,,,,,1,,33.5813316,high,high,,,35.97659612,Laila Alves,alvesla10,Syracuse [syr01:2025],2022-11
19,4/4/2025,3:12:04 PM,2,1,Julianna Verni,verniju10,Right,Syracuse [syr01:2025],Alyssa Willer,willeal10,Right,Georgia tech [geo06:2025],,1,Bottom,0,0,0,,,HitByPitch,,,,,,,66.67312822,3.697354224,-0.033112314,978.754008,24.10288743,6:45,1.866350683,1.099374902,7.080771738,-29.60007237,-3.472120304,-2.299159505,1.517390085,1.200148493,61.23183175,-5.942611162,0.282935588,0.370366319,,,,,,,,,,,,2.633858544,-5.736015376,-1.081358954,50,0.591713201,-0.310443713,-100.9734046,11.66810952,2.586454218,23.89947719,-37.80682785,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,c45e2ded-8499-4225-8d92-fe70459bff44,5a18514c-8850-4e47-a5ea-e1b2278a4abb,66.77825546,1.860869747,1.100747123,3.795154401,-0.058123329,61.30026544,1.521920733,1.199244511,-5.841360191,0.262809107,0.370275107,-2.149433824,-4.907905998,-60.11897339,,487.6158663,-848.6401917,49.8200633,0.454764312,-0.867061779,0.203453412,,,,,,,,,,,,,,,,,1,1,,,high,high,,,35.91922964,Laila Alves,alvesla10,Syracuse [syr01:2025],2022-11
20,4/4/2025,3:12:34 PM,3,1,Julianna Verni,verniju10,Right,Syracuse [syr01:2025],Gracyn Tucker,tuckegr10,,Georgia tech [geo06:2025],,1,Bottom,0,0,0,,,BallCalled,,,,,,,64.69580409,5.565120208,-2.70256903,1162.024181,352.9967276,5:45,1.978904858,0.775830786,7.193389903,-35.47292796,-8.209785751,1.145273686,2.271713942,-0.961104097,59.82596055,-5.796112243,-2.919318402,0.381666232,,,,,,,,,,,,-2.704968723,-12.7545501,-1.461549782,50,0.138061673,4.820540515,-97.61311167,15.69325019,-2.485529846,22.16677319,-43.89389487,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,c45e2ded-8499-4225-8d92-fe70459bff44,cb5cdaba-5cb5-4e6c-a961-1dc1adee5803,64.77001285,1.971436905,0.777929111,5.701084673,-2.741461751,59.86250974,2.277659474,-0.96267361,-5.664764832,-2.954032354,0.381610688,1.386546693,-9.865165597,-27.09526352,,1034.49256,-529.2686853,89.02504583,0.883608468,-0.455471318,-0.108544706,,,,,,,,,,,,,,,,,1,1,,,high,high,,,35.80661147,Laila Alves,alvesla10,Syracuse [syr01:2025],2022-11
21,4/4/2025,3:12:51 PM,3,2,Julianna Verni,verniju10,Right,Syracuse [syr01:2025],Gracyn Tucker,tuckegr10,,Georgia tech [geo06:2025],,1,Bottom,0,1,0,,,BallCalled,,,,,,,65.95028031,4.163430662,-3.063030721,1214.387146,6.572713402,6:15,1.808901986,0.974890012,6.47687105,-34.61641379,-6.890742046,-1.2176818,1.419273169,-0.210805597,60.52815403,-6.63380489,-2.28682968,0.38215851,,,,,,,,,,,,-0.01609007,-9.937460117,-1.68434403,50,0.448335583,5.157036056,-99.55318562,12.75337715,-0.015341218,23.39547552,-41.64900743,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,c45e2ded-8499-4225-8d92-fe70459bff44,302ae420-2d5e-472e-b582-5936d06fe732,66.03999142,1.801561991,0.976881038,4.291069116,-3.098276269,60.57604343,1.424942519,-0.212120339,-6.508730587,-2.315887003,0.3820841,-1.000901598,-8.6011712,-42.58032997,,894.1889773,-821.6825502,73.63294154,0.73148981,-0.676623228,0.084283249,,,,,,,,,,,,,,,,,1,1,,,high,high,,,36.52313033,Laila Alves,alvesla10,Syracuse [syr01:2025],2022-11
