PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,4/5/2025,6:02:28 PM,1,1,Kinsey Norton,nortoki10,,Georgia tech [geo06:2025],Gabby Lantier,lantiga10,Left,Syracuse [syr01:2025],,1,Top,0,0,0,Fast Ball,,BallCalled,,,,,,,65.18208343,3.843717369,0.224466998,901.6761932,6.13100494,6:15,1.360332963,1.070992006,6,-34.69407193,-6.491267338,-0.990921518,0.957827035,1.571788358,60.72487148,-6.310526147,0.757706927,0.391408692,,,,,,,,,,,,1.228779817,-9.191356034,-1.010558355,50,0.134169526,-0.527402199,-98.4508605,11.87402291,1.145963369,22.85939844,-40.745933,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,cc28d3dd-bc66-4950-b3b4-7f2b9b117809,b6610f7c-618c-47ce-a48a-76c2ad5d152d,65.27483154,1.352779402,1.072667608,3.971773204,0.195598741,60.77949077,0.963493295,1.570721551,-6.187104383,0.734411332,0.391325912,-0.817312121,-8.197764085,-41.07320146,,679.7473306,-592.421745,75.3870775,0.749558857,-0.65702272,0.080515005,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000138,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
2,4/5/2025,6:02:46 PM,1,2,Kinsey Norton,nortoki10,,Georgia tech [geo06:2025],Gabby Lantier,lantiga10,Left,Syracuse [syr01:2025],,1,Top,0,1,0,Drop Ball,,StrikeCalled,,,,,,,64.13938386,6.682878811,-1.84562378,869.0760585,3.853481311,6:15,1.411787269,1.027682443,6,-38.37199455,-8.493823607,-0.639407123,2.480620069,0.729608882,58.89304102,-4.897937394,0.263132585,0.399476748,,,,,,,,,,,,-0.076353047,-12.72444361,-1.44070074,50,-0.497552657,3.018496022,-96.33964172,16.91764657,-0.068351136,21.57129229,-43.56495289,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,cc28d3dd-bc66-4950-b3b4-7f2b9b117809,00c091bc-9fb8-452d-a3ee-c8466dd22a1e,64.22473527,1.403171238,1.02844729,6.829435203,-1.858943392,58.93368644,2.487099889,0.729189986,-4.756896242,0.254029086,0.399409594,-0.57115525,-10.33485177,-15.48068031,,837.546421,-231.9680756,96.37205085,0.961541702,-0.266913434,0.064767072,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000138,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
3,4/5/2025,6:03:04 PM,1,4,Kinsey Norton,nortoki10,,Georgia tech [geo06:2025],Gabby Lantier,lantiga10,Left,Syracuse [syr01:2025],,1,Top,0,2,1,Drop Ball,,StrikeCalled,,,,,,,64.53958963,5.395280718,-0.38056386,926.7085454,13.41097125,6:30,1.406001599,0.779041132,6.382489487,-37.36784864,-8.529704735,-2.367336104,1.683324618,0.911719858,59.39947044,-5.798767762,0.407969461,0.391596207,,,,,,,,,,,,2.65735716,-12.48728002,-0.842822178,50,-0.262700435,0.287107094,-97.33768179,14.98761867,2.425230491,22.19617824,-43.57053506,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,cc28d3dd-bc66-4950-b3b4-7f2b9b117809,afcbeab6-cc82-41c3-abc2-0dd4eb7f97f0,64.61699689,1.397857623,0.778845983,5.538243829,-0.377152005,59.43606433,1.6897151,0.911961996,-5.660460732,0.413280044,0.391534176,-2.399978793,-10.31707367,-12.18597099,,905.8275852,-195.6147082,97.7467608,0.950813517,-0.211085469,0.226708139,,,,,,,,,,,,,,,,,1,1,,,high,high,,,36.61751189,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
4,4/5/2025,6:03:25 PM,1,4,Kinsey Norton,nortoki10,,Georgia tech [geo06:2025],Gabby Lantier,lantiga10,Left,Syracuse [syr01:2025],,1,Top,0,1,2,Offspeed,,BallCalled,,,,,,,55.91983151,8.661317203,-4.264099141,1012.008339,355.6935423,5:45,1.531775092,1.316333087,6.576951033,-45.54757463,-7.508499746,0.493528649,3.131368757,-0.738514736,51.48438002,-5.089394406,-2.806612896,0.453424523,,,,,,,,,,,,-2.287228903,-13.05802764,-2.333266085,50,-1.067591674,6.283110512,-83.51677071,19.11885697,-1.540369577,16.10662587,-40.96817968,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,cc28d3dd-bc66-4950-b3b4-7f2b9b117809,87a95401-daaa-4fd3-8608-8830b18bb9d2,55.9888175,1.522914361,1.3141439,8.82541426,-4.222533678,51.50922676,3.138664571,-0.736806558,-4.929406304,-2.76911688,0.453362444,0.222168366,-9.657124686,38.92555453,,787.3050322,635.8550652,77.79629891,0.775766548,0.628310105,-0.05841811,,,,,,,,,,,,,,,,,1,1,,,high,high,,,36.42305034,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
5,4/5/2025,6:03:43 PM,1,5,Kinsey Norton,nortoki10,,Georgia tech [geo06:2025],Gabby Lantier,lantiga10,Left,Syracuse [syr01:2025],,1,Top,0,2,2,Drop Ball,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,67.04350866,9.134662044,-1.918150662,998.971003,10.44236599,6:15,0.353427334,1.162029077,-0.162562861,-52.14292312,-12.45907351,-2.58089736,2.928433544,0.886604254,59.40359119,-3.811491953,-0.035786687,0.454305123,,,,,,,,,,,,1.378663987,-14.53913542,-1.386009336,50,-0.849622404,3.159192334,-98.61056606,18.81237997,1.292808461,22.6257802,-45.8077685,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,cc28d3dd-bc66-4950-b3b4-7f2b9b117809,5626fb93-de21-4b88-b146-fa2b4e5e127b,67.17770546,0.337270291,1.161842003,9.346445211,-1.915716279,59.45909251,2.93932798,0.886945852,-3.605251917,-0.029267814,0.454198378,-2.62696006,-15.30044535,-8.630034151,,987.6605128,-149.8992205,98.86778593,0.972303101,-0.150053625,0.179194277,,,,,,,,,,,,,,,,,1,1,,,high,high,,,43.16256424,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
6,4/5/2025,6:04:10 PM,2,1,Kinsey Norton,nortoki10,,Georgia tech [geo06:2025],Jadyn Burney,burneja10,Left,Syracuse [syr01:2025],,1,Top,1,0,0,Drop Ball,,BallCalled,,,,,,,65.06486861,5.904470682,2.566048062,889.1147907,6.6835195,6:15,1.277203229,0.657747738,5.918683215,-36.33810357,-7.463170858,-0.966698419,2.113740618,1.850068998,60.02747514,-4.637971209,1.269710516,0.394377666,,,,,,,,,,,,2.197313129,-11.36697307,-0.069535476,50,-0.423116723,-4.521635907,-97.81588293,15.53836745,2.027069053,22.28475401,-42.66032896,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,cc28d3dd-bc66-4950-b3b4-7f2b9b117809,dfa4864a-3fc8-45e9-a3fd-2a1cb8c8ede4,65.15754872,1.26877553,0.65902912,6.044020842,2.544365382,60.07999892,2.119973922,1.849200076,-4.50328325,1.250986429,0.394299699,-0.830328803,-9.204380374,-32.35996847,,751.0371213,-475.8869125,84.47020892,0.838961635,-0.535236752,0.098310701,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.08131816,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
7,4/5/2025,6:04:28 PM,2,2,Kinsey Norton,nortoki10,,Georgia tech [geo06:2025],Jadyn Burney,burneja10,Left,Syracuse [syr01:2025],,1,Top,1,1,0,Drop Ball,,BallCalled,,,,,,,65.18644737,5.357799134,1.311163837,918.1274414,8.139883209,6:15,1.419648334,1.035539203,6.915259828,-35.68083999,-7.975298564,-1.339301089,1.762983724,1.747438536,59.72098181,-5.601196151,1.130330446,0.381572216,,,,,,,,,,,,2.150525447,-12.13233171,-0.701636639,50,-0.31342404,-2.466784964,-98.41080135,15.18146044,2.007743047,22.58187843,-43.50086493,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,cc28d3dd-bc66-4950-b3b4-7f2b9b117809,6b8eec1c-20dd-4673-a7b5-5f52e132e423,65.2657054,1.412078738,1.036101037,5.492557067,1.300935869,59.76001356,1.768820008,1.747072433,-5.471130066,1.122184795,0.3815094,-1.277205432,-9.667726451,-21.81375031,,852.3864638,-341.167576,92.8396675,0.919043392,-0.371590654,0.131452007,,,,,,,,,,,,,,,,,1,1,,,high,high,,,36.08474155,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
8,4/5/2025,6:04:48 PM,2,3,Kinsey Norton,nortoki10,,Georgia tech [geo06:2025],Jadyn Burney,burneja10,Left,Syracuse [syr01:2025],,1,Top,1,2,0,Fast Ball,,StrikeCalled,,,,,,,64.85802285,5.129355712,0.639565899,837.6191978,13.18762599,6:30,1.342253088,1.099912228,6.578510812,-33.42154071,-5.708883079,-1.656579902,1.795496862,1.08756196,60.1951483,-4.972714786,-0.206863031,0.387201549,,,,,,,,,,,,2.228692698,-9.18904773,-0.930363905,50,-0.260781321,-1.347743562,-97.89397883,14.23690975,2.058332338,22.38428805,-40.66069026,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,cc28d3dd-bc66-4950-b3b4-7f2b9b117809,00cfbd53-d327-4c95-9479-81563bf1ca9a,64.95270791,1.335312147,1.101144962,5.250549393,0.617563575,60.25373035,1.800848809,1.086752157,-4.854002092,-0.224757361,0.387119286,-1.523566178,-7.314138515,-41.85666267,,623.8725687,-558.9176493,74.48164635,0.72517431,-0.667269388,0.169922878,,,,,,,,,,,,,,,,,1,1,,,high,high,,,36.42149056,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
9,4/5/2025,6:05:06 PM,2,4,Kinsey Norton,nortoki10,,Georgia tech [geo06:2025],Jadyn Burney,burneja10,Left,Syracuse [syr01:2025],,1,Top,1,2,1,Fast Ball,,StrikeCalled,,,,,,,66.29807518,6.348233368,0.836673845,938.152663,6.511129485,6:15,1.193637484,0.84160442,5.840653637,-36.24619966,-7.834128516,-0.936718805,2.338030146,1.357648137,60.60217198,-4.125758291,0.89045555,0.387830019,,,,,,,,,,,,1.410972962,-11.74859051,-0.645395145,50,-0.584859006,-1.588010872,-99.64671006,16.43381038,1.351561183,23.05115812,-43.42794269,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,cc28d3dd-bc66-4950-b3b4-7f2b9b117809,9235182c-661f-459e-a30c-80a92f4ddb86,66.39525931,1.185038333,0.842945874,6.488304146,0.814305854,60.65580546,2.344248073,1.356797257,-3.988706845,0.871784266,0.387753009,-0.801911859,-9.56047756,-30.92950988,,804.747629,-482.1946419,85.78002928,0.85226735,-0.51398313,0.097271301,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.15934774,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
10,4/5/2025,6:05:26 PM,2,5,Kinsey Norton,nortoki10,,Georgia tech [geo06:2025],Jadyn Burney,burneja10,Left,Syracuse [syr01:2025],,1,Top,1,2,2,Changeup,,BallCalled,,,,,,,57.21085737,5.14204625,0.648707823,893.8380263,8.775759136,6:15,1.543776011,0.625690288,6,-44.47486002,-5.951850629,-1.074744482,1.039793136,0.939023084,52.07332965,-7.354696986,0.345416344,0.446716121,,,,,,,,,,,,1.530633303,-9.143920126,-0.467975711,50,-0.061519375,-1.113972098,-86.24707828,13.44888634,1.095867694,17.5093945,-38.72070361,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,cc28d3dd-bc66-4950-b3b4-7f2b9b117809,928bf34b-05fb-428e-8e73-4444e776bd66,57.29167701,1.534815977,0.622286829,5.297239634,0.708743555,52.10511163,1.046539957,0.941384773,-7.208450139,0.397067407,0.446639224,-1.453045179,-8.135336948,44.20317743,,640.7673994,623.1882196,71.68719394,0.708479533,0.697204864,0.109371517,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000138,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
