PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,4/4/2025,6:22:43 PM,1,1,Sydnie Watts,wattssy10,Right,Georgia tech [geo06:2025],Gabby Lantier,lantiga10,Left,Syracuse [syr01:2025],,1,Top,0,0,0,Screw Ball,,Foul,,,,,,,66.84483334,4.338899307,0.022697255,1296.71352,133.5897023,10:30,1.426563057,0.509449743,3.487007307,-27.23759242,3.86988285,-2.725669962,1.730375566,0.86412508,61.50751602,-4.241997328,0.379172962,0.410093508,,,,,,,,,,,,2.51679315,2.448237441,-0.491691828,50,0.473791564,-0.296598698,-100.2692381,10.57407611,2.434719336,23.70889605,-29.80565032,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,f9dddafc-27ec-47e0-b501-339c1a124f32,23838ca2-a73b-4f06-8368-ed29df23beec,67.01746092,1.422191653,0.51154572,4.402559702,-0.009065488,61.63356662,1.734001985,0.86298617,-4.167388682,0.356164201,0.409919435,-2.537384184,2.373114964,-75.0727305,,334.0239266,-1252.954097,25.75926922,-0.177607425,-0.966253592,0.186573304,,,,,,,,,,,,,,,,,1,1,,,high,high,,,39.51299407,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
2,4/4/2025,6:23:08 PM,1,2,Sydnie Watts,wattssy10,Right,Georgia tech [geo06:2025],Gabby Lantier,lantiga10,Left,Syracuse [syr01:2025],,1,Top,0,2,2,Rise Ball,,Foul,,,,,,,66.32590212,4.774517657,-0.249678146,1162.158946,174.7040423,11:45,1.5737862,0.391838662,6.116237669,-22.59489532,5.843006759,-0.090266015,2.569944264,0.921131208,59.92627414,-2.237140468,0.849052325,0.383813547,50.1495389,38.40926488,-132.1548294,,-83.40189038,-71.7225535,14.32329203,125.9124494,,-130.8789257,2.689785623,-0.00082509,4.811945161,-0.448090522,50,0.25166446,0.422542494,-100.0841,11.76315848,-0.000795259,23.61786279,-27.53608189,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,f9dddafc-27ec-47e0-b501-339c1a124f32,bf9a7ed6-e142-4624-9959-805fb054f867,66.47781776,1.571747478,0.393745544,4.808844579,-0.283403318,60.04612635,2.572196097,0.919694755,-2.187320437,0.818038237,0.383668792,0.117847358,4.686753134,-67.47213798,,445.261031,-1073.478472,38.31326452,-0.381497133,-0.923693335,0.035363273,-29.13207203,-26.37352961,31.15662957,-0.946047413,2.795352676,2.487720051,-95.20167797,-82.40500846,,,,,,,,,1,1,,4.75369178,high,high,,,36.88376371,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
3,4/4/2025,6:23:30 PM,1,3,Sydnie Watts,wattssy10,Right,Georgia tech [geo06:2025],Gabby Lantier,lantiga10,Left,Syracuse [syr01:2025],,1,Top,0,2,2,Screw Ball,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,64.26386606,4.40573188,0.974757321,1235.423056,179.0490594,12:00,1.590444216,0.026519521,6.166691356,-21.80667691,7.768279309,0.178246067,2.709836893,1.251728921,58.73471967,-1.519237607,2.229826105,0.395439062,,,,,,,,,,,,0.24988146,7.540952789,0.196056286,50,0.351235231,-1.629896104,-97.02899353,10.73500125,0.226283443,22.24736554,-25.34524059,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,f9dddafc-27ec-47e0-b501-339c1a124f32,1f5d2b22-ca90-4c46-b377-eedbe1d1a664,64.41178895,1.58918892,0.028216032,4.42786639,0.942944541,58.85876189,2.711485579,1.250335773,-1.48199301,2.199452943,0.395285782,0.395753172,6.621229566,-56.03692832,,690.1795273,-1024.657186,55.86584481,-0.558581505,-0.829397817,0.009271653,,,,,,,,,,,,,,,,,1,1,,,high,high,,,36.83331002,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
4,4/4/2025,6:23:54 PM,2,1,Sydnie Watts,wattssy10,Right,Georgia tech [geo06:2025],Jadyn Burney,burneja10,Left,Syracuse [syr01:2025],,1,Top,1,0,0,Screw Ball,,BallCalled,,,,,,,65.40651837,5.223446644,2.407031876,949.8337359,192.6645024,12:30,1.589186212,0.229436742,5.692091324,-25.56229166,4.514835935,1.126292812,2.931313867,1.894285309,59.5427817,-1.948030025,3.564868113,0.394720518,,,,,,,,,,,,-0.260019258,2.933500185,0.293754631,50,0.193512526,-3.98041164,-98.44438926,12.5876349,-0.242393496,22.89554065,-29.43940073,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,f9dddafc-27ec-47e0-b501-339c1a124f32,c2194e73-2cf8-409f-8b9b-0c420ad62d84,65.55879453,1.586317227,0.232081068,5.270577019,2.36200087,59.6613669,2.934072932,1.892371491,-1.887354098,3.523676576,0.394567345,1.407021941,3.210232202,-70.64980817,,314.7188949,-896.1786334,33.13410369,-0.323279696,-0.943511058,-0.072643796,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.30791005,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
5,4/4/2025,6:24:11 PM,2,2,Sydnie Watts,wattssy10,Right,Georgia tech [geo06:2025],Jadyn Burney,burneja10,Left,Syracuse [syr01:2025],,1,Top,1,1,0,Fast Ball,,BallCalled,,,,,,,68.51528653,7.088039312,-0.539569182,1496.145264,71.89586593,8:30,1.632843793,0.539277071,6.103361569,-26.29928913,0.026074168,-2.147780052,3.793488934,0.895115397,62.36497368,-1.223950484,1.21225714,0.373171133,,,,,,,,,,,,2.046951796,-2.407066941,-0.6432569,50,-0.260276167,0.669007736,-102.9324912,16.87814495,2.08843837,24.86669097,-34.62990173,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,f9dddafc-27ec-47e0-b501-339c1a124f32,bdcdd051-9836-4650-b93f-1d1185501338,68.65751274,1.628874114,0.54104146,7.158260924,-0.572055335,62.47113827,3.797331724,0.89384187,-1.139784713,1.184877112,0.373050966,-1.941480759,-1.291706043,-77.14479029,,332.8744098,-1458.645014,22.24880283,0.069137045,-0.974935422,0.211473383,,,,,,,,,,,,,,,,,1,1,,,high,high,,,36.89663981,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
6,4/4/2025,6:24:30 PM,2,3,Sydnie Watts,wattssy10,Right,Georgia tech [geo06:2025],Jadyn Burney,burneja10,Left,Syracuse [syr01:2025],,1,Top,1,2,0,Rise Ball,,BallCalled,,,,,,,64.17911656,2.612189695,1.985067324,904.5273616,199.9212218,12:45,1.511859223,0.078826059,3.967897787,-26.31452431,6.852736948,1.992361998,1.323088092,1.435047039,58.91144112,-4.026263549,3.241215953,0.420957756,,,,,,,,,,,,-1.183266222,6.282753131,0.289244367,50,0.841798775,-3.13504065,-96.50204987,7.346806125,-1.060433173,21.94210374,-26.54349941,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,f9dddafc-27ec-47e0-b501-339c1a124f32,e8941b85-a871-468d-a2aa-c5190cf14756,64.33811962,1.509329957,0.081673627,2.65294005,1.937266331,59.04024961,1.325738537,1.432850928,-3.970719409,3.196087757,0.420782704,2.320726335,5.422496988,-58.76101221,,469.0959646,-773.3813573,51.86089272,-0.487576401,-0.855011568,-0.176704479,,,,,,,,,,,,,,,,,1,1,,,high,high,,,39.03210359,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
7,4/4/2025,6:24:48 PM,2,4,Sydnie Watts,wattssy10,Right,Georgia tech [geo06:2025],Jadyn Burney,burneja10,Left,Syracuse [syr01:2025],,1,Top,1,3,0,Fast Ball,,StrikeCalled,,,,,,,67.75806033,5.528002542,-0.032874782,1348.270644,101.4743119,9:30,1.602765642,0.263510659,5.874673956,-24.7488494,1.37822034,-1.324018115,2.893945988,0.669547244,63.00201836,-2.344381205,0.712546501,0.378735922,,,,,,,,,,,,1.327230576,-0.438087085,-0.259858638,50,0.108458512,-0.11376168,-102.0506774,13.75200867,1.330842714,24.46298589,-32.61332895,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,f9dddafc-27ec-47e0-b501-339c1a124f32,ad78a22c-bc90-42d6-aabc-58c1a8ea0f43,67.90013421,1.599222663,0.265491577,5.590801853,-0.06921012,63.11316078,2.897277129,0.668162473,-2.271812625,0.682873473,0.378609395,-1.102364411,0.12090064,-82.49606803,,176.0763503,-1336.723924,13.05942179,-0.025978921,-0.991435903,0.127984161,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.12532742,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
8,4/4/2025,6:25:04 PM,2,5,Sydnie Watts,wattssy10,Right,Georgia tech [geo06:2025],Jadyn Burney,burneja10,Left,Syracuse [syr01:2025],,1,Top,1,3,1,Fast Ball,,StrikeCalled,,,,,,,66.94315667,3.966614961,1.487071603,1268.068774,75.16804742,8:30,1.51632377,0.229809071,5.036567972,-27.63562941,0.341495472,-2.447179585,1.731573805,1.253436782,62.37229649,-4.167546683,1.465640915,0.391933201,,,,,,,,,,,,3.281199581,-1.10533929,0.101687096,50,0.449507922,-2.930893443,-100.8006239,10.82057346,3.21110314,23.81880948,-33.25577545,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,f9dddafc-27ec-47e0-b501-339c1a124f32,b446e452-496f-4cf0-9758-2916c4b3c14e,67.08343584,1.511455747,0.231729459,4.047167016,1.454396629,62.47802095,1.735644888,1.252234808,-4.080598822,1.440329237,0.391800959,-2.25047826,-1.088091774,-78.75727528,,247.2300056,-1243.734593,19.49657706,0.049908292,-0.980810047,0.188469664,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.9634334,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
9,4/4/2025,6:25:24 PM,2,6,Sydnie Watts,wattssy10,Right,Georgia tech [geo06:2025],Jadyn Burney,burneja10,Left,Syracuse [syr01:2025],,1,Top,1,3,2,Fast Ball,,BallCalled,Walk,,Walk,0,0,,68.01655091,6.333103023,0.087309283,,,,1.429150634,0.315975141,4.259879462,,,,3.177017855,0.372849953,61.0297878,-1.3894152,0.087309283,,,,,,,,,,,,,,,,,,,,,,,,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,f9dddafc-27ec-47e0-b501-339c1a124f32,fb0ac83c-6ed5-4448-b600-3803eef6951b,68.18183866,1.424351105,0.315975141,6.405781789,0.087309283,61.15605724,3.181397197,0.372849953,-1.302541862,0.087309283,0.395573052,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,low,,,38.74012191,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
10,4/4/2025,6:25:54 PM,3,1,Sydnie Watts,wattssy10,Right,Georgia tech [geo06:2025],Vanessa Flores,floreva10,Right,Syracuse [syr01:2025],,1,Top,1,0,0,Screw Ball,,StrikeCalled,,,,,,,67.32940764,4.05355508,-1.43153917,1219.932685,171.6483749,11:45,1.51980273,0.273061159,5.594671902,-24.83403363,4.382966518,-0.341741932,2.189766211,0.819735107,60.06091856,-2.788518631,1.890428175,0.383588762,,,,,,,,,,,,-0.260568026,3.987391774,-0.585049298,50,0.416815517,2.493404505,-101.5263197,10.53448462,-0.258531444,24.25038253,-28.217823,Georgia Tech [geo06:2025],Syracuse [syr01:2025],,,,f9dddafc-27ec-47e0-b501-339c1a124f32,eb6324fb-b11c-4249-a2db-2a93d629ebe4,67.48412753,1.517282569,0.275147414,4.09488593,-1.467180689,60.17836208,2.1925321,0.818105183,-2.727827371,1.855392834,0.383444769,-0.086528759,3.100791891,-73.84470364,,339.4362225,-1171.758852,27.82417643,-0.275291099,-0.960511073,0.040413985,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.40532947,Reese Hunter,huntere10,Georgia tech [geo06:2025],2022-11
